1957,3491
1985,2176
1984,1961
1986,2087
1989,1761
1990,1524
1991,1685
1992,1495
1995,1508
1996,1496
1997,1473
1998,1509
1999,1503
2000,1539
2001,1343
2002,1308
2003,1261
2004,1386
2005,1166
2006,1214
2007,1132
2008,977
2009,1049
2010,1044
2011,1032
2012,1104
2013,1033
2014,920
2015,1034
