Load,cof
1.894399032,1.435110432
4.075105223,1.428456814
4.075105223,1.428456814
4.075105223,1.428456814
6.284442129,1.428280393
7.020887765,1.428221586
9.230224672,1.428045164
9.230224672,1.428045164
10.70311594,1.42792755
12.17600721,1.427809935
12.17600721,1.427809935
15.85823539,1.427515899
15.85823539,1.427515899
15.85823539,1.427515899
18.80401793,1.42728067
18.80401793,1.42728067
18.80401793,1.42728067
21.74980048,1.427045441
21.74980048,1.427045441
21.74980048,1.427045441
23.95913738,1.42686902
26.16847429,1.426692598
26.16847429,1.426692598
26.16847429,1.426692598
27.64136556,1.426574983
29.85070247,1.426398562
29.85070247,1.426398562
32.06003937,1.42622214
32.06003937,1.42622214
32.79648501,1.426163333
34.26937628,1.426045718
35.00582191,1.425986911
36.47871319,1.425869297
36.47871319,1.425869297
37.21515882,1.42581049
37.21515882,1.42581049
39.42449573,1.425634068
40.16094136,1.425575261
40.16094136,1.425575261
43.10672391,1.425340032
44.57961518,1.425222417
46.78895208,1.425045996
50.47118026,1.42475196
50.47118026,1.42475196
55.64061507,1.427578907
65.20009297,1.423575815
69.61876678,1.423222972
73.30099496,1.422928936
74.0374406,1.422870128
76.2467775,1.422693707
79.17824469,1.41921988
82.88910358,1.425403039
84.36199485,1.425285425
85.82057077,1.421929213
87.29346204,1.421811598
90.97569021,1.421517562
90.97569021,1.421517562
91.71213585,1.421458755
93.92147276,1.421282333
93.92147276,1.421282333
93.92147276,1.421282333
94.65791839,1.421223526
96.13080966,1.421105912
96.13080966,1.421105912
96.8672553,1.421047105
98.34014657,1.42092949
99.07659221,1.420870683
100.5494835,1.420753068
101.2859291,1.420694261
102.0223747,1.420635454
102.7588204,1.420576647
104.2317117,1.420459032
104.9681573,1.420400225
105.7046029,1.420341418
106.4410486,1.420282611
107.8996245,1.416926399
108.6360701,1.416867591
110.1089614,1.416749977
110.8310917,1.413452572
111.5675373,1.413393765
113.7768742,1.413217343
115.2497655,1.413099729
115.9862111,1.413040921
117.4591024,1.412923307
118.195548,1.4128645
119.6684393,1.412746885
121.1413306,1.412629271
122.6142218,1.412511656
123.3506675,1.412452849
125.5743197,1.415515025
127.047211,1.415397411
127.7836566,1.415338604
129.2565479,1.415220989
129.2565479,1.415220989
130.7294392,1.415103375
131.4658848,1.415044567
132.2023304,1.41498576
132.9387761,1.414926953
133.6752217,1.414868146
135.1337976,1.411511934
135.8702433,1.411453126
136.6066889,1.411394319
138.0795802,1.411276705
147.6390581,1.407273613
149.1119493,1.407155999
150.5848406,1.407038384
154.2670688,1.406744348
156.4764057,1.406567927
156.4764057,1.406567927
160.8950795,1.406215083
161.6315252,1.406156276
164.5629923,1.402682449
168.2452205,1.402388413
170.4545574,1.402211992
171.9274487,1.402094377
