Speed,RPM
0.122447833,6388.837401
1.627208133,6420.745921
1.929957593,6452.548344
1.929957593,6452.548344
2.839329345,6563.843564
2.841576095,6595.619463
3.748701098,6675.138784
4.954082063,6722.908729
6.160586402,6786.566624
7.370460864,6897.888368
8.578088578,6977.434212
9.487460331,7088.729432
10.09295925,7152.334279
11.30058696,7231.880123
11.90383913,7263.709071
12.80871739,7311.452492
14.31909456,7422.80076
15.22397281,7470.544181
15.83059511,7550.036978
17.64596849,7724.963568
18.85471958,7820.397363
19.45797175,7852.22631
20.66447609,7915.884205
21.26885163,7963.601102
22.47760272,8059.034896
23.68523043,8138.580741
24.89398152,8234.014535
26.40323532,8329.474854
27.3114837,8424.882124
28.21636195,8472.625545
29.12461033,8568.032815
30.63386413,8663.493133
31.24385655,8790.649779
32.14985817,8854.281149
32.45036088,8854.307674
33.6579886,8933.853518
36.07099728,9061.169308
37.58137445,9172.517576
38.48962283,9267.924846
39.39787121,9363.332116
40.30724296,9474.627336
41.51599405,9570.06113
43.62737664,9681.462447
45.74100598,9824.639662
46.64813099,9904.158982
47.85688207,9999.592777
48.76176033,10047.3362
49.96938804,10126.88204
51.47751847,10206.45441
52.38464347,10285.97373
53.59002443,10333.74368
53.59227118,10365.51958
54.80326902,10492.72927
56.31813969,10667.62934
57.5302609,10810.72698
59.34338754,10953.87767
60.24938917,11017.50904
61.460387,11144.71874
64.78052068,11351.55385
66.89302665,11478.84311
69.91041087,11653.8758
71.42078805,11765.22407
72.63066251,11876.54581
73.23503805,11924.26271
74.44154239,11987.9206
75.65141686,12099.24235
77.16404078,12242.36651
78.37279187,12337.80031
80.181425,12417.3992
81.38905271,12496.94505
82.29954784,12624.12821
83.50605218,12687.78611
84.41317718,12767.30543
85.62417502,12894.51512
87.4350549,13005.88992
89.24818154,13149.04061
89.85368046,13212.64545
91.66456034,13324.02025
93.47768697,13467.17094
95.28856685,13578.54573
96.49731794,13673.97952
98.00544837,13753.55189
99.81745162,13880.81463
101.0250793,13960.36048
102.2315837,14024.01837
103.4459516,14198.89192
103.7509478,14262.47024
105.8612071,14357.9836
108.8842082,14612.45604
111.0012076,14803.2971
112.5093381,14882.86947
113.4130929,14914.72494
113.4085994,14851.17315
113.4041059,14787.62135
113.3984891,14708.1816
113.3928722,14628.74185
113.3895021,14581.078
113.3850086,14517.5262
113.6810178,14454.00093
113.6776477,14406.33708
113.6754009,14374.56118
113.6720308,14326.89733
113.6709074,14311.00938
113.9669166,14247.48411
113.9646699,14215.70821
113.9612997,14168.04436
113.9568062,14104.49256
113.9534361,14056.82871
113.9489426,13993.27691
113.9455725,13945.61307
113.9422024,13897.94922
113.9399556,13866.17332
113.9365855,13818.50947
113.9332154,13770.84562
113.9287219,13707.29382
114.2258545,13659.6565
114.2202376,13580.21675
114.2101272,13437.2252
114.203387,13341.8975
114.1988935,13278.34571
114.4960261,13230.70838
114.4960261,13230.70838
116.9079114,13342.13622
118.1144157,13405.79412
118.4171652,13437.59654
119.9241722,13501.28096
121.4356728,13628.51718
122.6433005,13708.06302
123.5504255,13787.58234
124.4575505,13867.10166
126.2695537,13994.3644
127.4783048,14089.7982
129.5896874,14201.19951
130.4945657,14248.94294
132.3043222,14344.42978
133.813576,14439.8901
135.0200803,14503.54799
136.8298368,14599.03483
138.940096,14694.5482
139.5433482,14726.37715
140.7498526,14790.03504
141.6603477,14917.21821
141.6603477,14917.21821
141.3474879,14742.42424
141.3441177,14694.76039
141.6401269,14631.23512
141.9372595,14583.59779
141.9338894,14535.93395
141.9293959,14472.38215
141.9260258,14424.7183
141.923779,14392.9424
141.9204089,14345.27855
141.9159154,14281.72675
141.9102985,14202.287
141.9046817,14122.84726
141.9013115,14075.18341
141.8990648,14043.40751
141.8945713,13979.85571
141.8900778,13916.30391
141.8855843,13852.75211
141.8810908,13789.20031
141.878844,13757.42441
141.8754739,13709.76057
141.8732272,13677.98467
141.8698571,13630.32082
142.1613728,13503.24374
142.4562586,13423.83052
144.271632,13598.75711
144.5755048,13646.44748
146.384138,13726.04638
147.592889,13821.48017
148.7993934,13885.13807
149.705395,13948.76944
150.6113966,14012.40081
