Speed,RPM
287.292948,13357.1754
287.8950768,13373.1164
290.005336,13468.62976
291.2095936,13500.51176
292.4138512,13532.39376
294.5196169,13564.35532
296.0243772,13596.26384
298.7367652,13707.71821
300.5465218,13803.20505
302.0535288,13866.88947
303.8610386,13930.60041
305.9701744,14010.22583
308.3786896,14073.98982
310.1839526,14105.92486
311.6909596,14169.60928
314.404471,14296.9516
315.9092313,14328.86012
317.1146123,14376.63006
318.3188699,14408.51206
320.4280057,14488.13748
321.6345101,14551.79537
322.839891,14599.56532
323.7436459,14631.42079
326.7542899,14711.12578
327.6591681,14758.8692
328.8645491,14806.63914
331.2719409,14854.51519
332.4761985,14886.39718
334.2848316,14965.99607
335.7884686,14982.01664
